Iteration 0, likelihood -37028175.428978, 288.30625 seconds
Iteration 1, likelihood -36486894.740070, 275.44095 seconds
Iteration 2, likelihood -35908953.315805, 264.54898 seconds
Iteration 3, likelihood -35097647.861208, 255.02704 seconds
Iteration 4, likelihood -34146536.806924, 242.69409 seconds
Iteration 5, likelihood -33382826.979432, 227.37435 seconds
Iteration 6, likelihood -32909284.955439, 215.50555 seconds
Iteration 7, likelihood -32611113.067139, 207.53716 seconds
Iteration 8, likelihood -32413827.372863, 201.99111 seconds
Iteration 9, likelihood -32281363.912076, 195.88577 seconds
Iteration 10, likelihood -32186811.466126, 192.69787 seconds
Iteration 11, likelihood -32113754.447516, 190.51804 seconds
Iteration 12, likelihood -32057719.018627, 188.61551 seconds
Iteration 13, likelihood -32017515.592277, 186.93180 seconds
Iteration 14, likelihood -31988549.334840, 186.13277 seconds
Iteration 15, likelihood -31965756.294553, 184.75143 seconds
Iteration 16, likelihood -31944313.422284, 184.09532 seconds
Iteration 17, likelihood -31927931.886105, 183.93529 seconds
Iteration 18, likelihood -31913305.139199, 184.24383 seconds
Iteration 19, likelihood -31901516.373281, 183.16791 seconds
Iteration 20, likelihood -31889734.674202, 182.29766 seconds
Iteration 21, likelihood -31882123.029813, 182.07200 seconds
Iteration 22, likelihood -31871999.929265, 181.86498 seconds
Iteration 23, likelihood -31865577.206420, 181.43621 seconds
Iteration 24, likelihood -31858533.317324, 180.92603 seconds
Iteration 25, likelihood -31850861.057039, 180.68241 seconds
Iteration 26, likelihood -31844247.433037, 180.25059 seconds
Iteration 27, likelihood -31838096.169436, 180.56111 seconds
Iteration 28, likelihood -31832992.524360, 180.63148 seconds
Iteration 29, likelihood -31827262.426133, 179.48093 seconds
Iteration 30, likelihood -31822359.540226, 180.32850 seconds
Iteration 31, likelihood -31817383.799297, 179.44982 seconds
Iteration 32, likelihood -31810910.235380, 179.29132 seconds
Iteration 33, likelihood -31808877.301436, 179.03681 seconds
Iteration 34, likelihood -31803944.808368, 178.73711 seconds
Iteration 35, likelihood -31799175.639681, 178.18434 seconds
Iteration 36, likelihood -31796360.531542, 178.01752 seconds
Iteration 37, likelihood -31793455.164715, 178.45716 seconds
Iteration 38, likelihood -31790262.875641, 178.45009 seconds
Iteration 39, likelihood -31789404.043895, 178.10169 seconds
Iteration 40, likelihood -31785409.325980, 178.02713 seconds
Iteration 41, likelihood -31784142.869062, 177.70287 seconds
Iteration 42, likelihood -31783546.893233, 177.72814 seconds
Iteration 43, likelihood -31780245.680164, 177.40077 seconds
Iteration 44, likelihood -31777273.075886, 177.33194 seconds
Iteration 45, likelihood -31776846.799437, 177.39927 seconds
Iteration 46, likelihood -31775755.181024, 176.94612 seconds
Iteration 47, likelihood -31774773.204894, 176.83445 seconds
Iteration 48, likelihood -31774740.358999, 176.86550 seconds
Iteration 49, likelihood -31772931.135232, 176.64088 seconds
Iteration 50, likelihood -31771782.391083, 176.83806 seconds
Iteration 51, likelihood -31772010.420203, 178.28518 seconds
Iteration 52, likelihood -31770391.866436, 176.86611 seconds
Iteration 53, likelihood -31769806.896882, 177.00765 seconds
Iteration 54, likelihood -31768253.772010, 176.89424 seconds
Iteration 55, likelihood -31766888.143592, 176.76629 seconds
Iteration 56, likelihood -31766666.608704, 176.52241 seconds
Iteration 57, likelihood -31765116.956338, 176.73014 seconds
Iteration 58, likelihood -31763017.655395, 176.70705 seconds
Iteration 59, likelihood -31761127.058165, 176.74826 seconds
Iteration 60, likelihood -31760821.449123, 176.32376 seconds
Iteration 61, likelihood -31760121.747111, 176.78276 seconds
Iteration 62, likelihood -31759558.044773, 176.65971 seconds
Iteration 63, likelihood -31757944.353297, 176.39595 seconds
Iteration 64, likelihood -31756965.609706, 176.43525 seconds
Iteration 65, likelihood -31755372.419078, 176.58709 seconds
Iteration 66, likelihood -31756122.519781, 176.53778 seconds
Iteration 67, likelihood -31755242.195805, 176.32917 seconds
Iteration 68, likelihood -31754979.666730, 176.53342 seconds
Iteration 69, likelihood -31754812.806636, 175.95248 seconds
Iteration 70, likelihood -31755053.947318, 175.83318 seconds
Iteration 71, likelihood -31754807.136396, 176.28978 seconds
Iteration 72, likelihood -31754722.346712, 176.27323 seconds
Iteration 73, likelihood -31754639.203768, 175.75200 seconds
Iteration 74, likelihood -31753672.496880, 175.81323 seconds
Iteration 75, likelihood -31753592.922306, 175.81092 seconds
Iteration 76, likelihood -31753712.854579, 176.27583 seconds
Iteration 77, likelihood -31751926.453508, 176.36423 seconds
Iteration 78, likelihood -31753537.042054, 176.59630 seconds
Iteration 79, likelihood -31753071.434654, 175.85514 seconds
Iteration 80, likelihood -31751894.515024, 175.72529 seconds
Iteration 81, likelihood -31751580.037522, 175.84841 seconds
Iteration 82, likelihood -31749841.440671, 175.91418 seconds
Iteration 83, likelihood -31749681.856988, 175.38934 seconds
Iteration 84, likelihood -31748705.687123, 176.72598 seconds
Iteration 85, likelihood -31746926.679163, 175.66116 seconds
Iteration 86, likelihood -31746422.734020, 175.54794 seconds
Iteration 87, likelihood -31746729.202668, 175.96781 seconds
Iteration 88, likelihood -31745877.731751, 175.78902 seconds
Iteration 89, likelihood -31744277.933787, 175.64321 seconds
Iteration 90, likelihood -31744662.493522, 176.15660 seconds
Iteration 91, likelihood -31744355.937375, 175.86733 seconds
Iteration 92, likelihood -31744127.754975, 176.19309 seconds
Iteration 93, likelihood -31744312.679016, 175.53292 seconds
Iteration 94, likelihood -31743693.540755, 176.00836 seconds
Iteration 95, likelihood -31743956.437615, 175.77718 seconds
Iteration 96, likelihood -31743412.776742, 175.91914 seconds
Iteration 97, likelihood -31743323.019979, 175.94733 seconds
Iteration 98, likelihood -31743940.595240, 175.85827 seconds
Iteration 99, likelihood -31742331.501956, 175.87615 seconds
