Iteration 0, likelihood -37052569.515159, 271.82329 seconds
Iteration 1, likelihood -36474857.854381, 261.74848 seconds
Iteration 2, likelihood -35669922.823882, 250.19971 seconds
Iteration 3, likelihood -34550632.731887, 238.03785 seconds
Iteration 4, likelihood -33701264.093039, 223.25093 seconds
Iteration 5, likelihood -33192381.703321, 210.97043 seconds
Iteration 6, likelihood -32875531.022846, 202.64749 seconds
Iteration 7, likelihood -32652501.047990, 196.99972 seconds
Iteration 8, likelihood -32488585.109675, 193.51101 seconds
Iteration 9, likelihood -32370580.649681, 190.82697 seconds
Iteration 10, likelihood -32281212.537568, 188.74145 seconds
Iteration 11, likelihood -32215535.757242, 187.14633 seconds
Iteration 12, likelihood -32167518.592184, 186.30526 seconds
Iteration 13, likelihood -32130363.700388, 184.97337 seconds
Iteration 14, likelihood -32100538.896367, 185.38093 seconds
Iteration 15, likelihood -32075844.643587, 184.47964 seconds
Iteration 16, likelihood -32057242.797650, 183.83814 seconds
Iteration 17, likelihood -32042708.277132, 183.23725 seconds
Iteration 18, likelihood -32031163.355126, 182.75181 seconds
Iteration 19, likelihood -32020028.118725, 182.52540 seconds
Iteration 20, likelihood -32012186.339175, 182.26549 seconds
Iteration 21, likelihood -32003451.359111, 182.05330 seconds
Iteration 22, likelihood -31996432.576917, 181.88237 seconds
Iteration 23, likelihood -31986742.956602, 181.62875 seconds
Iteration 24, likelihood -31981485.196800, 181.08408 seconds
Iteration 25, likelihood -31974834.815940, 180.72822 seconds
Iteration 26, likelihood -31970288.236698, 180.01296 seconds
Iteration 27, likelihood -31964174.088910, 179.59177 seconds
Iteration 28, likelihood -31959510.988685, 178.82192 seconds
Iteration 29, likelihood -31956621.751209, 178.11476 seconds
Iteration 30, likelihood -31953183.177870, 177.56845 seconds
Iteration 31, likelihood -31947605.698605, 177.66802 seconds
Iteration 32, likelihood -31942154.584309, 176.69196 seconds
Iteration 33, likelihood -31939307.427842, 176.25154 seconds
Iteration 34, likelihood -31937501.366951, 175.74890 seconds
Iteration 35, likelihood -31933305.169161, 175.60073 seconds
Iteration 36, likelihood -31929997.076072, 175.40870 seconds
Iteration 37, likelihood -31927684.527216, 175.15846 seconds
Iteration 38, likelihood -31924941.711097, 175.03459 seconds
Iteration 39, likelihood -31924173.525366, 174.96707 seconds
Iteration 40, likelihood -31921187.470259, 174.95316 seconds
Iteration 41, likelihood -31920281.972067, 174.81319 seconds
Iteration 42, likelihood -31919660.455276, 174.98934 seconds
Iteration 43, likelihood -31915592.598820, 175.67377 seconds
Iteration 44, likelihood -31913304.766582, 174.99306 seconds
Iteration 45, likelihood -31910839.505876, 174.55800 seconds
Iteration 46, likelihood -31907920.779201, 174.40620 seconds
Iteration 47, likelihood -31905592.911204, 174.25529 seconds
Iteration 48, likelihood -31903041.147324, 174.27591 seconds
Iteration 49, likelihood -31901258.874057, 174.09051 seconds
Iteration 50, likelihood -31899721.566626, 174.42911 seconds
Iteration 51, likelihood -31898281.225162, 174.34568 seconds
Iteration 52, likelihood -31896445.038603, 174.38432 seconds
Iteration 53, likelihood -31892960.666214, 174.16571 seconds
Iteration 54, likelihood -31892463.945538, 173.99739 seconds
Iteration 55, likelihood -31891810.846492, 173.70830 seconds
Iteration 56, likelihood -31890689.520536, 173.48536 seconds
Iteration 57, likelihood -31888215.407247, 172.66354 seconds
Iteration 58, likelihood -31888242.356286, 172.86594 seconds
Iteration 59, likelihood -31884983.350890, 173.57361 seconds
Iteration 60, likelihood -31884213.709263, 172.96285 seconds
Iteration 61, likelihood -31881861.857813, 172.66915 seconds
Iteration 62, likelihood -31880135.728720, 172.27614 seconds
Iteration 63, likelihood -31880116.884394, 172.23003 seconds
Iteration 64, likelihood -31878050.006148, 172.14321 seconds
Iteration 65, likelihood -31875804.591061, 172.07382 seconds
Iteration 66, likelihood -31874858.797008, 171.99791 seconds
Iteration 67, likelihood -31875249.369135, 172.15075 seconds
Iteration 68, likelihood -31874208.133076, 171.96653 seconds
Iteration 69, likelihood -31873919.475705, 171.78143 seconds
Iteration 70, likelihood -31872888.981751, 171.56711 seconds
Iteration 71, likelihood -31871955.750239, 171.58646 seconds
Iteration 72, likelihood -31870369.586708, 171.44148 seconds
Iteration 73, likelihood -31868392.988162, 171.26582 seconds
Iteration 74, likelihood -31868641.512596, 171.29210 seconds
Iteration 75, likelihood -31869087.103493, 171.28637 seconds
Iteration 76, likelihood -31868068.876198, 171.00928 seconds
Iteration 77, likelihood -31865584.824483, 171.06471 seconds
Iteration 78, likelihood -31864304.237204, 171.21174 seconds
Iteration 79, likelihood -31861798.195202, 171.24165 seconds
Iteration 80, likelihood -31861250.167055, 171.34323 seconds
Iteration 81, likelihood -31859964.087651, 171.03764 seconds
Iteration 82, likelihood -31858345.085116, 170.96518 seconds
Iteration 83, likelihood -31857013.591498, 171.00649 seconds
Iteration 84, likelihood -31854903.584140, 171.03384 seconds
Iteration 85, likelihood -31854810.280019, 171.03976 seconds
Iteration 86, likelihood -31853876.406652, 170.84767 seconds
Iteration 87, likelihood -31854117.135255, 170.67376 seconds
Iteration 88, likelihood -31853292.539184, 170.70020 seconds
Iteration 89, likelihood -31851165.739429, 170.55461 seconds
Iteration 90, likelihood -31850928.099958, 170.47692 seconds
Iteration 91, likelihood -31851126.488032, 170.43756 seconds
Iteration 92, likelihood -31850871.220700, 170.56828 seconds
Iteration 93, likelihood -31848180.001656, 170.40564 seconds
Iteration 94, likelihood -31848075.355177, 170.37094 seconds
Iteration 95, likelihood -31846905.243537, 170.49269 seconds
Iteration 96, likelihood -31846709.301701, 170.26524 seconds
Iteration 97, likelihood -31845654.516018, 170.99211 seconds
Iteration 98, likelihood -31844965.086258, 171.98501 seconds
Iteration 99, likelihood -31844743.260473, 171.61970 seconds
