Iteration 0, likelihood -38882972.920289, 416.65108 seconds
Iteration 1, likelihood -38069477.144798, 384.73424 seconds
Iteration 2, likelihood -37070569.985824, 356.43010 seconds
Iteration 3, likelihood -35790531.973614, 327.72863 seconds
Iteration 4, likelihood -34764595.283946, 299.24771 seconds
Iteration 5, likelihood -34127705.775425, 275.99718 seconds
Iteration 6, likelihood -33705989.753519, 262.51814 seconds
Iteration 7, likelihood -33404276.178012, 254.14012 seconds
Iteration 8, likelihood -33185801.282803, 248.71213 seconds
Iteration 9, likelihood -33034625.928638, 244.23807 seconds
Iteration 10, likelihood -32923770.234207, 243.14199 seconds
Iteration 11, likelihood -32844745.821662, 241.12594 seconds
Iteration 12, likelihood -32781189.839881, 239.26630 seconds
Iteration 13, likelihood -32733325.281943, 238.00245 seconds
Iteration 14, likelihood -32697805.045693, 237.05046 seconds
Iteration 15, likelihood -32667355.240973, 236.12300 seconds
Iteration 16, likelihood -32645907.811857, 235.13012 seconds
Iteration 17, likelihood -32624246.798602, 234.31486 seconds
Iteration 18, likelihood -32608274.276428, 233.91663 seconds
Iteration 19, likelihood -32595300.166715, 232.78297 seconds
Iteration 20, likelihood -32585197.609075, 232.50090 seconds
Iteration 21, likelihood -32576228.865228, 231.79762 seconds
Iteration 22, likelihood -32566232.411982, 231.40899 seconds
Iteration 23, likelihood -32558630.049554, 231.23138 seconds
Iteration 24, likelihood -32549126.279112, 230.71990 seconds
Iteration 25, likelihood -32543047.654103, 230.60699 seconds
Iteration 26, likelihood -32536559.232107, 230.39455 seconds
Iteration 27, likelihood -32528973.581852, 229.69742 seconds
Iteration 28, likelihood -32523169.912965, 229.35833 seconds
Iteration 29, likelihood -32516284.472746, 229.17199 seconds
Iteration 30, likelihood -32511996.741318, 230.52954 seconds
Iteration 31, likelihood -32508046.257128, 229.40586 seconds
Iteration 32, likelihood -32503569.362208, 229.81274 seconds
Iteration 33, likelihood -32499501.457019, 229.31295 seconds
Iteration 34, likelihood -32497879.739916, 229.00053 seconds
Iteration 35, likelihood -32495947.124673, 228.77429 seconds
